epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.3284,0.53408,1.27227,1.06997,0.44555,0.40433,0.43649,0.39111,0.68104,5.67215,0.86259,0.000330159,0.000330159,0.0673143
2,119.994,0.49223,1.0109,1.00835,0.66267,0.27609,0.3241,0.25632,0.70628,3.88749,0.7966,0.000597806,0.000597806,0.0342486
3,179.115,0.4945,1.0742,1.01656,0.26371,0.50605,0.4637,0.36875,0.5598,17.5392,0.66675,0.000799454,0.000799454,0.00111691
4,247.538,0.47105,0.96939,0.99838,0.47078,0.52025,0.48949,0.41644,0.57384,6.95789,0.68241,0.000703,0.000703,0.000703
5,315.884,0.42186,0.784,0.96189,0.74867,0.36996,0.55311,0.4538,0.681,8.23995,0.70705,0.000604,0.000604,0.000604
6,387.967,0.41447,0.76286,0.95157,0.55795,0.52942,0.48783,0.43312,0.55001,3.36508,0.65725,0.000505,0.000505,0.000505
7,449.741,0.38635,0.64798,0.94924,0.57394,0.52043,0.60465,0.50488,0.56563,5.11134,0.65209,0.000406,0.000406,0.000406
8,528.115,0.33593,0.54377,0.94496,0.62217,0.55836,0.66623,0.57875,0.48847,3.37126,0.61756,0.000307,0.000307,0.000307
9,596.358,0.29767,0.48107,0.91337,0.78973,0.4929,0.61393,0.5478,0.51353,3.44169,0.66488,0.000208,0.000208,0.000208
10,827.39,0.25953,0.42531,0.89741,0.61969,0.65288,0.69912,0.62778,0.45335,2.52628,0.62077,0.000109,0.000109,0.000109
